ID,Title,Abstract,Labels
001,activated carbon derived bacterial cellulose its use catalyst support ethanol conversion ethylene,elsevier b v activated carbon derived bacterial cellulose bc ac modified various amounts h3po4 x wt p bc ac used catalyst selective dehydration ethanol ethylene bc ac obtained carbonization temperature 500 c had mesoporous structure surface area total pore volume 1730 m2 g 1 0 cm3 g respectively increase h3po4 loading 5 40 increased number weak acid sites catalyst surface which consequently enhanced ethanol conversion reaction temperature 400 c modified bc ac 30 40 wt h3po4 loading p bc ac gave ethanol conversion 100 ethylene selectivity 100 high selectivity diethyl ether dee 67 ethanol conversion 50 obtained 200 c stability tests time stream 12 h reaction temperatures 200 400 c showed p bc ac catalyst had high thermal stability stable catalytic activity therefore p bc ac found very effective inexpensive environmentally friendly catalyst ethylene production via ethanol dehydration,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
002,algorithm static hand gesture recognition rule based classification,springer international publishing ag technology becomes part human lives decades especially human computer interaction hci considered important research area involving assistive technology medical system hand gesture classified intuitive method human interact computer it useful elderly people who cannot express their feelings words paper proposed hand gesture recognition technique elderly contour detection convex hull feature extraction rule based classification vision based hand gesture recognition considered classifying six hand gestures lingual description experimental results hand gesture system provides good detection classification results all six static hand gestures,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
003,alternative redundant residue number system construction redundant residue representations,ieee residue number system rns number representation system represents large integer several smaller integers due its ability perform addition multiplication parallel rns widely used signal processing communication cryptography extend ability rns redundant residue number system rrns which has abilities detect correct errors proposed used fault tolerant applications currently there two major ways construct rrns rns paper proposes alternative way do construction redundant residue representations our proposed rrns can perform certain operations more efficiently example backward conversion error detection can also perform complex rns operation namely comparing values between two rrns representations however it would have more costs perform addition multiplication our rrns we also compare our work two previous works discuss their advantages drawbacks further investigations required improve performance proposed rrns,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
004,comparative study wax inhibitor performance pour point reduction oil sirikit oilfield thailand,published under licence iop publishing ltd petroleum industries waxy crude oil normally found petroleum production wax formation precipitation during pipeline transport waxy crude oils can cause several challenges including wax deposition flow reduction which adversely impacts pipeline performance oil gas production overcome wax deposition problem small amount chemicals like wax inhibitors can provide effective preventative measure one mechanism reduce pour point temperature work oil sirikit oilfield thailand selected study wax inhibitors selected studied performance pour point reduction these chemicals polyalkyl methacrylate pama poly maleic anhydride alt 1 octadecane pmao polyalkyl methacrylate co ethylene glycol pamaeg copolymers maleic anhydride cpma concentration ranging 100 1000 ppm also n pentane concentration 5 20 weight used solvent wax inhibitors results study show n pentane can reduce pour point 39 41 compared original oil furthermore among polymer group pmao can reduce lowest pour point 52 82 addition mixed solvents polymer n pentane can provide relatively less effect pour point reduction mixture n pentane pmao can lower pour point certain level 54 96 compared original oil study can applied use real field prevent wax deposition pipeline transportation oil production,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
005,undrained lower bound solutions end bearing capacity shallow circular piles non homogeneous anisotropic clays,john wiley sons ltd undrained bearing capacity shallow circular piles non homogeneous anisotropic clay investigated lower bound lb finite element limit analysis fela under two dimensional 2d axisymmetric condition second order cone programming new solution problem presented modified isotropic von mises yield criterion cross anisotropic undrained strength criterion clays under axisymmetric state stress requiring three input shear strengths triaxial compression direct simple shear triaxial extension employed 2d axisymmetric lb fela parametric studies effects pile embedment ratio dimensionless strength gradient anisotropic strength ratio pile roughness investigated extensively while predicted failure mechanisms associated these parameters discussed compared numerical results undrained end bearing capacity shallow circular piles summarized form design tables useful design practice represent new contribution field pile capacity considering combined effects undrained strength non homogeneity anisotropy,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
006,words diffusion analysis across facebook pages thailand,ieee facebook pages thailand have become prominent very well known online media business news broadcasting facebook pages seem have become importantly technological tools which can provide methods frameworks identifying trending words analyzing their trends flows results demonstrated incorporating reaction factor when weighting importance words found messages posted different period time domains can help identify flows trendy words,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
007,transformation time petri net into promela,2017 ieee paper proposes method transformation time petri net into promela order verify their behavioral properties timed systems concurrent systems time attributes transactions typically written time petri net quantitative qualitative analysis their properties these time petri net would transformed into promela beforehand we also propose linear temporal formula specify correctness properties proposed transforming method copes representation both petri net structure its dynamic behavior token flows time petri net modelled into promela code hence implicit dynamic behavior would practically described model resulting promela code simulated verified spin tool reveals not only time related behaviors would evaluated but also qualitative properties such safety liveness,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
008,annual degradation rate analysis mono si photovoltaics systems thailand mixed effects method,2013 ieee annual degradation rate dr photovoltaics pv system critical factor evaluate energy performance levelized cost electricity lcoe during its operation lifetime however dr particular system strongly depends technical configuration such pv module array inverter configuration also climatic conditions therefore real operation dataset dr necessary pv engineer order estimate energy performance lcoe particular system article presents annual dr group pv systems bangkok thailand which share same monocrystalline silicon mono si solar cell inverter brand over four year period instead simple linear regression we apply linear mixed effects method estimate dr value which suitable formula time series data annual dr found about 2 7 per year 95 confidence interval 0 7 4 6 per year hence operation lifetime pv system until it reaches 80 their initial energy conversion performance about 7 years 95 confidence interval 4 years 28 years resulting dr informative useful further study pv system performance cost investment tropical region furthermore we first group thailand estimate dr pv station system scale based mixed effects method finally our study has enriched knowledge about operation mono si pv station real operation condition,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
009,development low cost ear eeg prototype,ieee study focused building low cost wearable eeg device multiple hour usage device suitable long period monitoring ear eeg which has desirable wearable characteristics electrode earbud it relatively simple install wear ear prototype study built earphone rubber earpiece silver adhesive fabric electrodes raw materials cost 3 dollar per piece impedance measurement ear eeg comparable those commercial electrodes signal verifications conducted teeth clenching assr mmn correlation signal verification results show there strong correlation between ear eeg t7 t8 signals γ coefficient 0 912,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
010,model based analysis integrated zinc air flow battery zinc electrolyzer system,lao atiman bumroongsil arpornwichanop bumroongsakulsawat olaru kheawhom work aims analyzing integrated system zinc air flow battery zinc electrolyzer energy storage application efficient utilization inherently intermittent renewable energy sources safe cost effective energy storage systems required zinc air flow battery integrated zinc electrolyzer shows great promise electricity storage system due its high specific energy density low cost mathematical model system developed model implemented matlab validated against experimental results validation model verified agreement between simulation experimental polarization characteristic behavior performance system then examined function different operating parameters flow rate electrolyte initial concentration potassium hydroxide koh initial concentration zincate ion these parameters significantly affected performance system influence hydrogen evolution reaction her performance system investigated discussed it significantly affected coulombic efficiencies both zinc air flow battery zinc electrolyzer optimal koh concentration found about 6 7 m whilst increased koh concentration enhanced discharge energy battery it also increased her both battery electrolyzer however higher initial concentration zincate ion reduced her improved coulombic efficiency system besides higher flow rate electrolyte enhanced performance system especially high charge discharge current maintaining concentration active species cell nevertheless battery suffered higher rate her high flow rate it noted model based analysis provided better insight into behavioral characteristics system leading improved design operation integrated system zinc air flow battery zinc electrolyzer,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
